"Statistic Label","County","Detailed Occupational Group","Year","UNIT","VALUE"
"Median Earned Income","Carlow","Actors, entertainers and presenters (incl. Dancers and choreographers and Musicians)","2016","Euro",""
"Median Earned Income","Carlow","Aircraft maintenance and related trades","2016","Euro",""
"Median Earned Income","Carlow","Finance and investment analysts and advisers","2016","Euro","38662"
"Median Earned Income","Carlow","Finance officers","2016","Euro",""
"Median Earned Income","Carlow","Financial accounts managers","2016","Euro","32684"
"Median Earned Income","Carlow","Financial administrative occupations n.e.c.","2016","Euro","21529"
"Median Earned Income","Carlow","Financial and accounting technicians","2016","Euro","17360"
"Median Earned Income","Carlow","Financial institution managers and directors","2016","Euro","56819"
"Median Earned Income","Carlow","Financial managers and directors","2016","Euro","51044"
"Median Earned Income","Carlow","Fire service officers (watch manager and below)","2016","Euro","30245"
"Median Earned Income","Carlow","Fishing and other elementary agriculture occupations n.e.c.","2016","Euro","19117"
"Median Earned Income","Carlow","Fishmongers and poultry dressers","2016","Euro",""
"Median Earned Income","Carlow","Aircraft pilots and flight engineers (incl. Air traffic controllers)","2016","Euro",""
"Median Earned Income","Carlow","Fitness instructors","2016","Euro","15037"
"Median Earned Income","Carlow","Floorers and wall tilers","2016","Euro",""
"Median Earned Income","Carlow","Florists","2016","Euro",""
"Median Earned Income","Carlow","Food, drink and tobacco process operatives","2016","Euro","19191"
"Median Earned Income","Carlow","Footwear and leather working trades","2016","Euro",""
"Median Earned Income","Carlow","Forestry workers","2016","Euro","17800"
"Median Earned Income","Carlow","Fork-lift truck drivers","2016","Euro","26976"
"Median Earned Income","Carlow","Functional managers and directors n.e.c.","2016","Euro","51400"
"Median Earned Income","Carlow","Furniture makers and other craft woodworkers","2016","Euro","25500"
"Median Earned Income","Carlow","Further and higher education teaching professionals","2016","Euro","64166"
"Median Earned Income","Carlow","Animal care services occupations n.e.c.","2016","Euro","20775"
"Median Earned Income","Carlow","Garage managers and proprietors","2016","Euro","32458"
"Median Earned Income","Carlow","Gardeners and landscape gardeners","2016","Euro","13707"
"Median Earned Income","Carlow","Glass and ceramics makers, decorators and finishers (incl. Glass and ceramics process operatives)","2016","Euro",""
"Median Earned Income","Carlow","Glaziers, window fabricators and fitters","2016","Euro","23162"
"Median Earned Income","Carlow","Graphic designers (incl. Product, clothing and related designers)","2016","Euro","23781"
"Median Earned Income","Carlow","Groundsmen and greenkeepers","2016","Euro","23551"
"Median Earned Income","Carlow","Hairdressers and related services (incl. Hairdressing and beauty salon managers and proprietors)","2016","Euro","14218"
"Median Earned Income","Carlow","Health and safety officers","2016","Euro",""
"Median Earned Income","Carlow","Health associate professionals n.e.c.","2016","Euro","16579"
"Median Earned Income","Carlow","Health care practice managers","2016","Euro","32564"
"Median Earned Income","Carlow","Architects and town planners (incl. Quantity surveyors and Chartered surveyors)","2016","Euro","37835"
"Median Earned Income","Carlow","Health professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Health services and public health managers and directors","2016","Euro",""
"Median Earned Income","Carlow","Horticultural trades","2016","Euro","26548"
"Median Earned Income","Carlow","Hospital porters","2016","Euro",""
"Median Earned Income","Carlow","Hotel and accommodation managers and proprietors","2016","Euro","28442"
"Median Earned Income","Carlow","Housekeepers and related occupations","2016","Euro","15402"
"Median Earned Income","Carlow","Houseparents and residential wardens","2016","Euro",""
"Median Earned Income","Carlow","Housing officers","2016","Euro",""
"Median Earned Income","Carlow","Human resource managers and directors","2016","Euro","56936"
"Median Earned Income","Carlow","Human resources administrative occupations","2016","Euro",""
"Median Earned Income","Carlow","Architectural and town planning technicians (incl. Draughtspersons)","2016","Euro","35671"
"Median Earned Income","Carlow","Human resources and industrial relations officers","2016","Euro","30568"
"Median Earned Income","Carlow","Importers and exporters","2016","Euro",""
"Median Earned Income","Carlow","Industrial cleaning process occupations","2016","Euro",""
"Median Earned Income","Carlow","Information technology and telecommunications directors","2016","Euro","47564"
"Median Earned Income","Carlow","Inspectors of standards and regulations","2016","Euro",""
"Median Earned Income","Carlow","Insurance underwriters","2016","Euro",""
"Median Earned Income","Carlow","IT and telecommunications professionals n.e.c.","2016","Euro","39720"
"Median Earned Income","Carlow","IT business analysts, architects and systems designers","2016","Euro","75213"
"Median Earned Income","Carlow","IT engineers","2016","Euro","45760"
"Median Earned Income","Carlow","IT operations technicians","2016","Euro","39094"
"Median Earned Income","Carlow","Artists","2016","Euro",""
"Median Earned Income","Carlow","IT project and programme managers","2016","Euro",""
"Median Earned Income","Carlow","IT specialist managers","2016","Euro","73642"
"Median Earned Income","Carlow","IT user support technicians","2016","Euro","36614"
"Median Earned Income","Carlow","Journalists, newspaper and periodical editors","2016","Euro",""
"Median Earned Income","Carlow","Kitchen and catering assistants","2016","Euro","13175"
"Median Earned Income","Carlow","Laboratory technicians","2016","Euro","27967"
"Median Earned Income","Carlow","Large goods vehicle drivers","2016","Euro","27552"
"Median Earned Income","Carlow","Launderers, dry cleaners and pressers","2016","Euro","17986"
"Median Earned Income","Carlow","Legal associate professionals","2016","Euro","26873"
"Median Earned Income","Carlow","Legal professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Arts officers, producers and directors","2016","Euro",""
"Median Earned Income","Carlow","Leisure and sports managers","2016","Euro","22757"
"Median Earned Income","Carlow","Leisure and theme park attendants","2016","Euro","14095"
"Median Earned Income","Carlow","Leisure and travel service occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Librarians (incl. Archivists and curators)","2016","Euro","46932"
"Median Earned Income","Carlow","Local government administrative occupations","2016","Euro","36833"
"Median Earned Income","Carlow","Management consultants and business analysts","2016","Euro","49906"
"Median Earned Income","Carlow","Managers and directors in retail and wholesale","2016","Euro","30796"
"Median Earned Income","Carlow","Managers and directors in storage and warehousing","2016","Euro","34481"
"Median Earned Income","Carlow","Managers and directors in transport and distribution","2016","Euro","37446"
"Median Earned Income","Carlow","Managers and proprietors in agriculture and horticulture","2016","Euro","30203"
