"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Agriculture and sugar levies (D2122A)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","20.82370449"
"Agriculture and sugar levies (D2122A)","1995","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","1995","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","1995","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","1995","Rest of World (S.212)","€milllion","20.82370449"
"Agriculture and sugar levies (D2122A)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","30.21976627"
"Agriculture and sugar levies (D2122A)","1996","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","1996","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","1996","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","1996","Rest of World (S.212)","€milllion","30.21976627"
"Agriculture and sugar levies (D2122A)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","21.71252114"
"Agriculture and sugar levies (D2122A)","1997","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","1997","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","1997","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","1997","Rest of World (S.212)","€milllion","21.71252114"
"Agriculture and sugar levies (D2122A)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","25.16366924"
"Agriculture and sugar levies (D2122A)","1998","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","1998","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","1998","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","1998","Rest of World (S.212)","€milllion","25.16366924"
"Agriculture and sugar levies (D2122A)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","13.82998715"
"Agriculture and sugar levies (D2122A)","1999","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","1999","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","1999","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","1999","Rest of World (S.212)","€milllion","13.82998715"
"Agriculture and sugar levies (D2122A)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","13.335"
"Agriculture and sugar levies (D2122A)","2000","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","2000","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","2000","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","2000","Rest of World (S.212)","€milllion","13.335"
"Agriculture and sugar levies (D2122A)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","9.681"
"Agriculture and sugar levies (D2122A)","2001","General Government - Total (S.13)","€milllion",""
"Agriculture and sugar levies (D2122A)","2001","General Government - Central Government (S.1311)","€milllion",""
"Agriculture and sugar levies (D2122A)","2001","General Government - Local Government (S.1313)","€milllion",""
"Agriculture and sugar levies (D2122A)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Agriculture and sugar levies (D2122A)","2001","Rest of World (S.212)","€milllion","9.681"
